Year,Race,TopSpeed,AvgSpeed,FullThrottleTime,MostCommonGear,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,type,length_km,drs_zones_prev,active_aero_zones,tyre_wear,downforce_req,power_sensitivity,turns
2026,Spanish Grand Prix,320.875,217.87308,55.0475,6,31.18743981,48.8746325,39.03964621,1003.298814,FALSE,Permanent,4.657,2,3,High,Medium-High,6,12
2026,Austrian Grand Prix,319.375,230.3135571,52.78975,8,32.20095528,52.21584809,26.90147743,940.1887874,FALSE,Permanent,4.318,3,4,Medium,Low-Medium,8,10
2026,British Grand Prix,314.625,236.0702038,64.05725,7,25.52396715,40.10680958,45.97630842,995.3279962,FALSE,Permanent,5.891,2,4,High,Medium-High,7,18
2026,Belgian Grand Prix,339.875,226.6284989,71.9585,7,21.77627027,36.02339441,65.08915644,966.2171505,FALSE,Permanent,7.004,2,3,Medium,Medium,8,19
2026,Hungarian Grand Prix,308.375,197.6718706,49.7475,2,25.24639652,36.62865385,51.15338828,984.758979,FALSE,Permanent,4.381,1,2,Medium,High,4,14
2026,Dutch Grand Prix,322.625,209.6891428,48.19775,4,22.49067349,31.46505882,59.7468206,1007.009689,FALSE,Permanent,4.259,2,3,High,High,5,14
2026,Italian Grand Prix,342.625,251.956629,67.829,6,28.95985476,42.79981743,37.05229634,996.0642405,FALSE,Permanent,5.793,2,4,Low,Low,10,11
2026,Madrid Grand Prix,320.875,217.87308,55.0475,4,27.18743981,38.8746325,49.03964621,1003.298814,FALSE,Permanent,5.4,2,2,Medium,Medium,7,22
2026,Azerbaijan Grand Prix,337.5,208.5858862,57.80365,5,20.01483684,30.77207669,51.21582224,1014.251793,FALSE,Street,6.003,2,4,Low,Medium,9,20
2026,Singapore Grand Prix,310.25,184.608555,41.51415,2,28.91583472,32.21522344,76.73336246,1009.494677,FALSE,Street,4.94,3,4,Medium,High,5,19
2026,United States Grand Prix,320.375,199.5050087,61.7,2,31.99633161,40.29100264,31.08116273,994.7545685,FALSE,Permanent,5.513,2,3,High,Medium-High,7,20
2026,Mexico City Grand Prix,345.625,189.9970285,44.8275,1,24.89618946,44.52199668,32.84104938,782.0200855,FALSE,Permanent,4.304,3,4,Low,Low,8,17
2026,São Paulo Grand Prix,321.125,199.5469782,45.958,1,23.69649041,32.17680706,75.18095398,921.985492,FALSE,Permanent,4.309,2,3,Medium,Medium,7,15
2026,Las Vegas Grand Prix,342.3333333,224.8263575,55.0384,5,12.89692576,14.49857685,51.11985655,943.1726787,FALSE,Street,6.12,3,5,Low,Low,9,17
2026,Qatar Grand Prix,319.9583333,229.0374729,62.36125,5,23.57640365,27.19581678,63.33576285,1013.584098,FALSE,Permanent,5.38,2,3,Very High,Medium-High,7,16
2026,Abu Dhabi Grand Prix,323.375,217.2407433,62.318,5,26.60089051,31.14296218,69.63110756,1015.921995,FALSE,Permanent,5.281,2,3,Low,Medium,7,16
